sub,test,pair,c,d,ht,ms,cr,fa,oTrls,nTrls,mdRtO,mdRtN,mnRtO,mnRtN
47,aud,none,0.211,1.439,25,11,89,19,36,108,2.268,2.44,2.456,2.488
47,aud,familiar,0.083,1.696,28,8,89,19,36,108,2.288,2.44,2.202,2.488
47,aud,unfamiliar,0.25,1.362,24,12,89,19,36,108,2.321,2.44,2.362,2.488
47,img,none,0.072,1.867,29,7,91,17,36,108,1.073,1.071,1.162,1.15
47,img,familiar,0.072,1.867,29,7,91,17,36,108,1.034,1.071,1.167,1.15
47,img,unfamiliar,0.072,1.867,29,7,91,17,36,108,1.059,1.071,1.129,1.15
48,aud,none,0.431,1.001,19,17,89,19,36,108,2.715,2.857,3.015,3.038
48,aud,familiar,0.466,0.931,18,18,89,19,36,108,2.71,2.857,3.095,3.038
48,aud,unfamiliar,0.535,0.791,16,20,89,19,36,108,3,2.857,3.275,3.038
48,img,none,-0.395,1.651,32,4,72,36,36,108,1.06,1.453,1.172,1.715
48,img,familiar,-0.581,2.024,34,2,72,36,36,108,1.153,1.453,1.383,1.715
48,img,unfamiliar,-0.215,1.292,29,7,72,36,36,108,0.992,1.453,1.233,1.715
49,aud,none,-0.213,0.753,26,10,61,47,36,108,2.946,2.84,3.062,3.134
49,aud,familiar,-0.024,0.374,21,15,61,47,36,108,2.673,2.84,3.125,3.134
49,aud,unfamiliar,-0.096,0.519,23,13,61,47,36,108,2.571,2.84,2.896,3.134
49,img,none,-0.036,1.863,30,6,88,20,36,108,1.169,1.473,1.439,1.811
49,img,familiar,0.153,1.485,26,10,88,20,36,108,1.216,1.473,1.527,1.811
49,img,unfamiliar,-0.162,2.116,32,4,88,20,36,108,1.24,1.473,1.356,1.811
50,aud,none,0.136,0.693,21,15,74,34,36,108,2.121,2.298,2.274,2.422
50,aud,familiar,0.171,0.622,20,16,74,34,36,108,2.229,2.298,2.236,2.422
50,aud,unfamiliar,0.063,0.838,23,13,74,34,36,108,2.26,2.298,2.282,2.422
50,img,none,0.408,1.833,25,11,98,10,36,108,1.233,1.264,1.4,1.455
50,img,familiar,0.628,1.395,19,17,98,10,36,108,1.244,1.264,1.374,1.455
50,img,unfamiliar,0.447,1.756,24,12,98,10,36,108,1.271,1.264,1.426,1.455
51,aud,none,0.14,-0.141,15,21,57,51,36,108,1.179,1.359,1.494,1.515
51,aud,familiar,0,0.139,19,17,57,51,36,108,1.537,1.359,1.891,1.515
51,aud,unfamiliar,-0.143,0.425,23,13,57,51,36,108,1.451,1.359,1.61,1.515
51,img,none,0.758,1.376,17,19,100,8,36,108,1.029,0.923,1.124,1.094
51,img,familiar,0.723,1.446,18,18,100,8,36,108,1.084,0.923,1.194,1.094
51,img,unfamiliar,0.758,1.376,17,19,100,8,36,108,1.01,0.923,1.149,1.094
52,aud,none,-0.442,0.838,29,7,53,55,36,108,1.944,2.01,2.02,2.136
52,aud,familiar,-0.306,0.566,26,10,53,55,36,108,1.978,2.01,2.042,2.136
52,aud,unfamiliar,-0.306,0.566,26,10,53,55,36,108,1.95,2.01,2.06,2.136
52,img,none,-0.337,1.048,29,7,62,46,36,108,0.793,1.061,0.97,1.167
52,img,familiar,-0.289,0.951,28,8,62,46,36,108,0.847,1.061,0.935,1.167
52,img,unfamiliar,-0.289,0.951,28,8,62,46,36,108,0.958,1.061,1.048,1.167
53,aud,none,-0.613,0.709,30,6,43,65,36,108,1.563,2.129,1.681,2.096
53,aud,familiar,-0.56,0.603,29,7,43,65,36,108,1.776,2.129,1.857,2.096
53,aud,unfamiliar,-0.56,0.603,29,7,43,65,36,108,1.788,2.129,1.864,2.096
53,img,none,-0.433,1.576,32,4,69,39,36,108,0.709,0.813,0.858,0.978
53,img,familiar,-0.253,1.217,29,7,69,39,36,108,0.668,0.813,0.771,0.978
53,img,unfamiliar,-0.253,1.217,29,7,69,39,36,108,0.752,0.813,0.839,0.978
54,aud,none,-0.012,0.397,21,15,62,46,36,108,1.706,1.914,1.76,2.006
54,aud,familiar,0.128,0.117,17,19,62,46,36,108,1.977,1.914,2.041,2.006
54,aud,unfamiliar,-0.012,0.397,21,15,62,46,36,108,2.008,1.914,1.921,2.006
54,img,none,0.039,0.939,24,12,75,33,36,108,0.878,0.899,1.035,1.09
54,img,familiar,-0.128,1.273,28,8,75,33,36,108,0.834,0.899,1.043,1.09
54,img,unfamiliar,-0.04,1.098,26,10,75,33,36,108,0.818,0.899,0.925,1.09
55,aud,none,-0.105,0.97,26,10,70,38,36,108,2.372,2.507,2.393,2.555
55,aud,familiar,-0.192,1.145,28,8,70,38,36,108,2.403,2.507,2.371,2.555
55,aud,unfamiliar,-0.064,0.889,25,11,70,38,36,108,2.384,2.507,2.335,2.555
55,img,none,-0.067,1.046,26,10,73,35,36,108,1.41,1.559,1.407,1.72
55,img,familiar,0.013,0.887,24,12,73,35,36,108,1.328,1.559,1.472,1.72
55,img,unfamiliar,0.087,0.739,22,14,73,35,36,108,1.407,1.559,1.424,1.72
56,aud,none,0.433,1.145,20,16,91,17,36,108,2.379,2.416,2.431,2.56
56,aud,familiar,0.361,1.287,22,14,91,17,36,108,2.393,2.416,2.472,2.56
56,aud,unfamiliar,0.397,1.216,21,15,91,17,36,108,2.373,2.416,2.49,2.56
56,img,none,0.325,1.999,27,9,98,10,36,108,1.029,1.206,1.301,1.423
56,img,familiar,0.593,1.465,20,16,98,10,36,108,1.151,1.206,1.429,1.423
